game	JAS-SYS1_b1.2	galaga88	\N	\N	\N	\N	\N	Galaga '88 (US)	1987	Namco	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_chr0.rom	\N	\N	131072	68559c78	28f6284acbf1fc263c2d38ae464ee77f367b0af5	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_chr1.rom	\N	\N	131072	3dc0f93f	0db9f37cf6e06013b402df23e615b0ab0d32b9ee	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_chr2.rom	\N	\N	131072	dbf26f1f	e52723647a8fe6db0b9c5e11c02486b20a549506	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_chr3.rom	\N	\N	131072	f5d6cac5	3d098b8219de4a7729ec95547eebff17c9b505b9	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj0.rom	\N	\N	131072	d7112e3f	476f9e1b636b257e517fc789508dac923d05ef67	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj1.rom	\N	\N	131072	680db8e7	84a68c27aaae27c0540f68f9c7d490a416c8f027	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj2.rom	\N	\N	131072	13c97512	9c5f39bcfe28abe1faa67bbe829a61fbcec98ec8	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj3.rom	\N	\N	131072	3ed3941b	5404aed795536ce6b37b8292d6a4446222bb50bf	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj4.rom	\N	\N	131072	370ff4ad	61d7306325103c6a03def619c21877faadf12699	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_obj5.rom	\N	\N	131072	b0645169	e55dc9bd532b6bd821b7bf6994c35175600c317c	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_snd0.rom	\N	\N	65536	164a3fdc	d7b026f6a617bb444e3bce80cec2cbb4772cb533	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_snd1.rom	\N	\N	65536	16a4b784	a0d6f6ad4a68c9e10f2662e940ffaee691cafcac	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce0.rom	\N	\N	65536	86921dd4	7048fd5b6ed5f4ddf6788958c30604418a6613ff	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce1.rom	\N	\N	65536	9c300e16	6f3c82dc83290426068acef0b8fabba452421e8f	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce2.rom	\N	\N	65536	5316b4b0	353c06e0e7c8dd9d609f8b341663bbf0ca60f6b5	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce3.rom	\N	\N	65536	dc077af4	560090a335dfd345a6ae0eef8f1fd4d8098881f3	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce4.rom	\N	\N	65536	ac0279a7	8d25292eec9953516fc5d25a94e30acc8159b360	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_vce5.rom	\N	\N	65536	014ddba1	26590b77a0c386dc076a8f8eccf6244c7e5a1e10	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_prg0.rom	\N	\N	65536	0f0778ca	17cc03c6ff138cf947dafe05dc0759ff968a399e	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_prg1.rom	\N	\N	65536	e68cb351	1087c0d9a53f3a4d238f19d479856b502bde7b77	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_prg5.rom	\N	\N	65536	4fbd3f6c	40d8dadc0a36b4c1886778cfc8d380a34aea2505	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_prg6.rom	\N	\N	65536	403d01c1	5997196c9ba3c4ee7d1b40105731e88fed501044	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga88	g88_prg7.rom	\N	\N	65536	df75b7fc	cb810e7ba05bd8e873559e529e25a99adbf6307d	\N	\N	\N	\N	\N	\N	
game	JAS-SYS1_b1.2	galaga8j	\N	\N	\N	\N	\N	Galaga '88 (Japan)	1987	Namco	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_chr0.rom	\N	\N	131072	68559c78	28f6284acbf1fc263c2d38ae464ee77f367b0af5	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_chr1.rom	\N	\N	131072	3dc0f93f	0db9f37cf6e06013b402df23e615b0ab0d32b9ee	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_chr2.rom	\N	\N	131072	dbf26f1f	e52723647a8fe6db0b9c5e11c02486b20a549506	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_chr3.rom	\N	\N	131072	f5d6cac5	3d098b8219de4a7729ec95547eebff17c9b505b9	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj0.rom	\N	\N	131072	d7112e3f	476f9e1b636b257e517fc789508dac923d05ef67	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj1.rom	\N	\N	131072	680db8e7	84a68c27aaae27c0540f68f9c7d490a416c8f027	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj2.rom	\N	\N	131072	13c97512	9c5f39bcfe28abe1faa67bbe829a61fbcec98ec8	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj3.rom	\N	\N	131072	3ed3941b	5404aed795536ce6b37b8292d6a4446222bb50bf	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj4.rom	\N	\N	131072	370ff4ad	61d7306325103c6a03def619c21877faadf12699	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_obj5.rom	\N	\N	131072	b0645169	e55dc9bd532b6bd821b7bf6994c35175600c317c	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_snd0.rom	\N	\N	65536	164a3fdc	d7b026f6a617bb444e3bce80cec2cbb4772cb533	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_snd1.rom	\N	\N	65536	16a4b784	a0d6f6ad4a68c9e10f2662e940ffaee691cafcac	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce0.rom	\N	\N	65536	86921dd4	7048fd5b6ed5f4ddf6788958c30604418a6613ff	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce1.rom	\N	\N	65536	9c300e16	6f3c82dc83290426068acef0b8fabba452421e8f	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce2.rom	\N	\N	65536	5316b4b0	353c06e0e7c8dd9d609f8b341663bbf0ca60f6b5	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce3.rom	\N	\N	65536	dc077af4	560090a335dfd345a6ae0eef8f1fd4d8098881f3	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce4.rom	\N	\N	65536	ac0279a7	8d25292eec9953516fc5d25a94e30acc8159b360	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_vce5.rom	\N	\N	65536	014ddba1	26590b77a0c386dc076a8f8eccf6244c7e5a1e10	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_prg0.rom	\N	\N	65536	0f0778ca	17cc03c6ff138cf947dafe05dc0759ff968a399e	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_prg1.rom	\N	\N	65536	e68cb351	1087c0d9a53f3a4d238f19d479856b502bde7b77	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_prg5.rom	\N	\N	65536	4fbd3f6c	40d8dadc0a36b4c1886778cfc8d380a34aea2505	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_prg7.rom	\N	\N	65536	7c10965d	35f2e4ef66525c2b60975b799014d60cc15f83a5	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	galaga8j	g88_prg6.rom	\N	\N	65536	e7203707	1171196029ebf0734211e1cc2521db7aa8594f31	\N	\N	\N	\N	\N	\N	
game	JAS-SYS1_b1.2	pacmania	\N	\N	\N	\N	\N	Pac-Mania (US)	1987	Namco	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-chr0.bin	\N	\N	131072	7c57644c	77d9cc9ffbed47a941e4c5e5645d7d1126f6c302	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-chr1.bin	\N	\N	131072	7eaa67ed	4ad6cfa31d781fa7169663bbc319fc79d8965290	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-chr2.bin	\N	\N	131072	27e739ac	be9dbd22d988b76f7044328e2056c3f26b703401	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-chr3.bin	\N	\N	131072	1dfda293	fa01b0b8a820c1d24ff0f84b857d2784f0dac1cf	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-obj1.bin	\N	\N	131072	4c08affe	f8f60fdc31779e2abe496e36ba0e4f27546cbc54	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-obj0.bin	\N	\N	131072	fda57e8b	16a72585268159d24f881dbb1aa6ae82bcc4bde7	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-snd0.bin	\N	\N	65536	c10370fa	f819a31075d3c8df5deee2919cd446b9e678c47d	\N	\N	\N	\N	\N	\N	
